,perturbation,control_idx,deleted_genes,mutated_genes,overexpressed_genes,conditions,Strain,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Supplement,Antibiotic for selection,Growth Rate (1/hr)
p1k_00908,"{'b2287': -1, 'b0734': -1, 'b0978': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cydB&appC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00909,"{'b2287': -1, 'b0734': -1, 'b0978': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cydB&appC,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00910,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00911,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00912,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00913,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00914,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00915,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00916,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00917,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00918,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00919,"{'b1109': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00920,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00921,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00922,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00923,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00924,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00925,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00926,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00927,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00928,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00929,"{'b2287': -1, 'b0431': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cyoB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00930,"{'b1109': -1, 'b0734': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cydB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00931,"{'b1109': -1, 'b0734': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",ndh&cydB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00932,"{'b2287': -1, 'b0734': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cydB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
p1k_00933,"{'b2287': -1, 'b0734': -1}","['p1k_00041', 'p1k_00042', 'p1k_00070', 'p1k_00071', 'p1k_00072', 'p1k_00092', 'p1k_00093', 'p1k_00125', 'p1k_00126', 'p1k_00127', 'p1k_00128', 'p1k_00129', 'p1k_00130', 'p1k_00131', 'p1k_00143', 'p1k_00146', 'p1k_00147', 'p1k_00148', 'p1k_00155', 'p1k_00157', 'p1k_00159', 'p1k_00317', 'p1k_00318', 'p1k_00357', 'p1k_00358', 'p1k_00389', 'p1k_00390', 'p1k_00395', 'p1k_00396', 'p1k_00401', 'p1k_00402', 'p1k_00407', 'p1k_00408', 'p1k_00413', 'p1k_00414', 'p1k_00421', 'p1k_00422', 'p1k_00423', 'p1k_00424', 'p1k_00431', 'p1k_00432', 'p1k_00437', 'p1k_00438', 'p1k_00882', 'p1k_00883']",nuoB&cydB,,,"('MG1655', 'M9', 37, 7.0, 'glucose(4)', 'NH4Cl(1)', 'O2', nan)",MG1655,M9,37,7.0,glucose(4),NH4Cl(1),O2,,,
